DATE,UNRATENSA,LNU01300000,LNU03008636,LNU03008275
2010-01-01,10.6,64.6,6423,28.9
2010-02-01,10.4,64.6,6286,29.3
2010-03-01,10.2,64.8,6711,32.1
2010-04-01,9.5,64.9,7020,35.8
2010-05-01,9.3,64.8,6641,35.1
2010-06-01,9.6,65.1,6420,32.8
2010-07-01,9.7,65.3,6541,32.6
2010-08-01,9.5,65,6273,33.1
2010-09-01,9.2,64.6,6108,34.1
2010-10-01,9.0,64.4,6099,34.9
2010-11-01,9.3,64.4,6258,34.5
2010-12-01,9.1,64.1,6200,34
2011-01-01,9.8,63.9,6307,35.5
2011-02-01,9.5,63.9,6058,36.7
2011-03-01,9.2,64,6263,39.8
2011-04-01,8.7,63.9,6101,41.4
2011-05-01,8.7,64.1,6166,41.2
2011-06-01,9.3,64.5,6058,38
2011-07-01,9.3,64.6,6218,39
2011-08-01,9.1,64.3,6038,39.7
2011-09-01,8.8,64.2,6217,41
2011-10-01,8.5,64.1,5738,39.8
2011-11-01,8.2,63.9,5618,41.1
2011-12-01,8.3,63.8,5411,39.7
2012-01-01,8.8,63.4,5597,38.2
2012-02-01,8.7,63.6,5411,39.1
2012-03-01,8.4,63.6,5385,40.2
2012-04-01,7.7,63.4,5268,42
2012-05-01,7.9,63.8,5405,41.4
2012-06-01,8.4,64.3,5217,38.2
2012-07-01,8.6,64.3,5247,37.4
2012-08-01,8.2,63.7,5033,38.7
2012-09-01,7.6,63.6,4835,40.2
2012-10-01,7.5,63.8,4915,40.9
2012-11-01,7.4,63.5,4707,40.1
2012-12-01,7.6,63.4,4618,37
2013-01-01,8.5,63.3,4764,33.6
2013-02-01,8.1,63.2,4791,36
2013-03-01,7.6,63.1,4657,37.9
2013-04-01,7.1,63.1,4488,39
2013-05-01,7.3,63.5,4366,38.6
2013-06-01,7.8,64,4245,34.1
2013-07-01,7.7,64,4322,35.3
2013-08-01,7.3,63.4,4297,36.6
2013-09-01,7.0,63.2,4087,37.6
2013-10-01,7.0,62.9,3957,36.5
2013-11-01,6.6,62.9,3989,37.9
2013-12-01,6.5,62.6,3753,36.2
2014-01-01,7.0,62.5,3690,33.3
2014-02-01,7.0,62.7,3886,36.3
2014-03-01,6.8,62.9,3795,36.2
2014-04-01,5.9,62.6,3486,37.1
2014-05-01,6.1,62.9,3366,35.9
2014-06-01,6.3,63.4,3005,31.4
2014-07-01,6.5,63.5,3207,30.8
2014-08-01,6.3,63,2967,31.2
2014-09-01,5.7,62.8,2910,32.1
2014-10-01,5.5,63,2838,33.8
2014-11-01,5.5,62.8,2770,34.1
2014-12-01,5.4,62.5,2693,32.4
2015-01-01,6.1,62.5,2853,30.3
2015-02-01,5.8,62.5,2763,31.1
2015-03-01,5.6,62.5,2635,31.3
2015-04-01,5.1,62.6,2564,32.8
2015-05-01,5.3,63,2505,31.9
2015-06-01,5.5,63.1,2052,26.2
2015-07-01,5.6,63.2,2196,26.5
2015-08-01,5.2,62.7,2183,27.6
2015-09-01,4.9,62.3,2064,26.2
2015-10-01,4.8,62.5,2090,28.9
2015-11-01,4.8,62.5,2007,29.1
2015-12-01,4.8,62.4,2025,27.6
2016-01-01,5.3,62.3,2153,27.6
2016-02-01,5.2,62.7,2248,29
2016-03-01,5.1,62.8,2305,29.1
2016-04-01,4.7,62.7,2109,29.8
2016-05-01,4.5,62.7,1894,27.8
2016-06-01,5.1,63.2,1904,25.7
2016-07-01,5.1,63.4,2027,26.3
2016-08-01,5.0,62.9,1996,26.7
2016-09-01,4.8,62.8,1921,27.2
2016-10-01,4.7,62.8,1930,27.9
2016-11-01,4.4,62.6,1799,27.1
2016-12-01,4.5,62.4,1769,25.8
2017-01-01,5.1,62.5,1908,23.7
2017-02-01,4.9,62.7,1878,25.1
2017-03-01,4.6,62.9,1761,26.1
